file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	020549329	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	50 to 99 units	Mitchell Lama City/Coop	Held for occasional use, seasonal or recreational use	596123	Renter occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	021048853	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	612424	Renter occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Less than 1 month	016878543	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	1 unit without business	Not applicable	Sold, not yet occupied	810310	Owner occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Less than 1 month	027427411	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	1 unit without business	Not applicable	Sold, not yet occupied	697761	Owner occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	016878543	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	4 units	Not applicable	Held for occasional use, seasonal or recreational use	851607	Renter occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a cooperative	No	Less than 1 month	016878543	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	100 units or more	Not applicable	Held for occasional use, seasonal or recreational use	026641	Don't know	Not available for rent or sale	15	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Brooklyn	Not Reported	Yes, a cooperative	Yes, a cooperative	2 to 3 months	027427411	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	J-51	Held for occasional use, seasonal or recreational use	397129	Owner occupied	Not available for rent or sale	15	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a condominium	Yes, a condominium	Less than 1 month	017518412	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	5 rooms	6 to 9 units	421-A	Not applicable (available for rent or available for sale only)	625605	Don't know	Available for sale only	15	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	022844918	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	3 bedrooms	6 rooms	10 to 12 units	421-A	Not applicable (available for rent or available for sale only)	093535	Owner occupied	Available for sale only	15	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a condominium	No	1 year or more	021366345	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	724283	Never previously occupied	Available for sale only	15	For sale	Superintendent
