file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 year or more	021077538	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	50 to 99 units	421-A	Not applicable (available for rent or available for sale only)	599828	Never previously occupied	Available for sale only	06	For sale	Superintendent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 year or more	026878664	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	50 to 99 units	421-A	Not applicable (available for rent or available for sale only)	448498	Never previously occupied	Available for sale only	06	For sale	Superintendent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	026878664	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	439965	Renter occupied	Available for sale only	06	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	1 to 2 months	018810394	0520	02600	Other rental	3 bedrooms	5 rooms	100 units or more	J-51	Not applicable (available for rent or available for sale only)	832610	Renter occupied	Available for rent	06	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	2 bedrooms	5 rooms	50 to 99 units	J-51	Not applicable (available for rent or available for sale only)	901747	Owner occupied	Available for sale only	06	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 to 2 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	990292	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	016930996	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	633185	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	1 year or more	024268516	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	100 units or more	Mitchell Lama City/Coop	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	977179	Owner occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	Not reported	Not reported	Not reported	024268516	0260	01300	Other rental	2 bedrooms	5 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	293587	Not reported	Available for rent	06	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	024268516	0333	01000	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	021434	Renter occupied	Available for rent	06	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	026373283	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	50 to 99 units	Not applicable	Rented, not yet occupied	344728	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	017143342	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	156585	Renter occupied	Not available for rent or sale	06	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	015590004	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	1 unit without business	Not applicable	Unit or building is awaiting renovation	550187	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	015590004	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units without business	Not applicable	Unit or building is awaiting renovation	673645	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	Not reported	018810394	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Mitchell Lama cooperative	2 bedrooms	4 rooms	100 units or more	Mitchell Lama City/Coop	Not applicable (available for rent or available for sale only)	748655	Owner occupied	Available for sale only	07	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	026373283	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	1 bedrooms	3 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	068527	Don't know	Available for sale only	07	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	026373283	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	2 bedrooms	4 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	972218	Don't know	Available for sale only	07	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	013902670	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	483742	Owner occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	015590004	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	739066	Owner occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	Not reported	015590004	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	2 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	667472	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	019731145	0300	01800	Other rental	3 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	364883	Renter occupied	Available for rent	07	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	1 year or more	020347396	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	J-51	Held for occasional use, seasonal or recreational use	996916	Owner occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	Yes, a cooperative	Yes, a cooperative	2 to 3 months	012992751	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	4 rooms	50 to 99 units	J-51	Held for occasional use, seasonal or recreational use	460978	Owner occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a condominium	Yes, a condominium	2 to 3 months	015220650	0300	01200	Other rental	2 bedrooms	4 rooms	100 units or more	J-51	Not applicable (available for rent or available for sale only)	416478	Renter occupied	Available for rent	07	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	015220650	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	4 units	Not applicable	Unit or building is undergoing renovation	652021	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	50 to 99 units	Not applicable	Being held pending sale of building	644527	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Being held pending sale of building	691283	Renter occupied	Not available for rent or sale	07	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	020437010	0337	01350	Other rental	2 bedrooms	4 rooms	4 units	Not applicable	Not applicable (available for rent or available for sale only)	167763	Renter occupied	Available for rent	07	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	3 to 6 months	018187041	0361	01085	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	922630	Renter occupied	Available for rent	07	For rent (old construction)	Rental office/agent
